Scan Start Time,IP Address,Block Size,Active Hosts,Scan Time,Hostel
2017-08-17 17:10:00,10.243.144.0,22,24,16.8,Kumaon
2017-08-17 17:40:00,10.243.144.0,22,23,23.3,Kumaon
2017-08-17 18:11:00,10.243.144.0,22,24,26.7,Kumaon
2017-08-17 18:41:00,10.243.144.0,22,26,169.4,Kumaon
2017-08-17 19:14:00,10.243.144.0,22,27,27,Kumaon
2017-08-17 19:45:00,10.243.144.0,22,32,31.4,Kumaon
2017-08-17 20:15:00,10.243.144.0,22,31,35.6,Kumaon
2017-08-17 20:46:00,10.243.144.0,22,30,32.4,Kumaon
2017-08-17 21:16:00,10.243.144.0,22,32,27,Kumaon
2017-08-17 21:47:00,10.243.144.0,22,34,32.7,Kumaon
2017-08-17 22:17:00,10.243.144.0,22,32,24.8,Kumaon
2017-08-17 22:48:00,10.243.144.0,22,36,39.5,Kumaon
2017-08-17 23:18:00,10.243.144.0,22,38,28.8,Kumaon
2017-08-17 23:49:00,10.243.144.0,22,40,61.1,Kumaon
2017-08-18 00:19:00,10.243.144.0,22,36,19.6,Kumaon
2017-08-18 00:50:00,10.243.144.0,22,33,26.6,Kumaon
2017-08-18 16:01:00,10.243.144.0,22,28,39.3,Kumaon
2017-08-18 16:32:00,10.243.144.0,22,27,38.6,Kumaon
2017-08-18 17:02:00,10.243.144.0,22,29,37.1,Kumaon
2017-08-18 17:33:00,10.243.144.0,22,25,22,Kumaon
2017-08-18 18:03:00,10.243.144.0,22,33,36.2,Kumaon
2017-08-18 18:34:00,10.243.144.0,22,32,24.4,Kumaon
2017-08-18 19:04:00,10.243.144.0,22,32,22,Kumaon
2017-08-18 19:35:00,10.243.144.0,22,29,30.7,Kumaon
2017-08-18 20:05:00,10.243.144.0,22,30,41,Kumaon
2017-08-18 20:36:00,10.243.144.0,22,32,41,Kumaon
2017-08-18 21:07:00,10.243.144.0,22,33,39.8,Kumaon
2017-08-18 21:37:00,10.243.144.0,22,37,209.7,Kumaon
2017-08-18 22:11:00,10.243.144.0,22,40,23.8,Kumaon
2017-08-18 22:41:00,10.243.144.0,22,38,54.3,Kumaon
2017-08-18 23:12:00,10.243.144.0,22,40,23.7,Kumaon
2017-08-18 23:43:00,10.243.144.0,22,38,43.3,Kumaon
2017-08-19 00:13:00,10.243.144.0,22,36,31.5,Kumaon
2017-08-19 00:44:00,10.243.144.0,22,36,31.5,Kumaon
2017-08-19 17:07:00,10.243.144.0,22,31,32.2,Kumaon
2017-08-19 17:37:00,10.243.144.0,22,31,29.6,Kumaon
2017-08-19 18:08:00,10.243.144.0,22,38,31.6,Kumaon
2017-08-19 18:38:00,10.243.144.0,22,36,34.7,Kumaon
2017-08-19 19:09:00,10.243.144.0,22,39,47.6,Kumaon
2017-08-19 19:40:00,10.243.144.0,22,32,39.1,Kumaon
2017-08-19 20:10:00,10.243.144.0,22,31,25.6,Kumaon
2017-08-19 20:41:00,10.243.144.0,22,31,31.8,Kumaon
2017-08-19 21:11:00,10.243.144.0,22,35,27.7,Kumaon
2017-08-19 21:42:00,10.243.144.0,22,37,61.9,Kumaon
2017-08-19 22:13:00,10.243.144.0,22,42,32.7,Kumaon
2017-08-19 22:43:00,10.243.144.0,22,38,29.8,Kumaon
2017-08-19 23:14:00,10.243.144.0,22,38,33.4,Kumaon
2017-08-19 23:44:00,10.243.144.0,22,40,28.7,Kumaon
2017-08-20 00:15:00,10.243.144.0,22,37,28.6,Kumaon
2017-08-20 00:45:00,10.243.144.0,22,36,35.6,Kumaon
2017-08-20 16:21:00,10.243.144.0,22,35,168.4,Kumaon
2017-08-20 16:54:00,10.243.144.0,22,32,161,Kumaon
2017-08-20 17:26:00,10.243.144.0,22,33,167.9,Kumaon
2017-08-20 17:59:00,10.243.144.0,22,33,180.4,Kumaon
2017-08-20 18:32:00,10.243.144.0,22,37,173.7,Kumaon
2017-08-20 19:05:00,10.243.144.0,22,36,164.2,Kumaon
2017-08-20 19:38:00,10.243.144.0,22,31,175.8,Kumaon
2017-08-20 20:11:00,10.243.144.0,22,32,185.3,Kumaon
2017-08-20 20:44:00,10.243.144.0,22,35,161.4,Kumaon
2017-08-20 21:16:00,10.243.144.0,22,37,174.9,Kumaon
2017-08-20 21:49:00,10.243.144.0,22,36,166.2,Kumaon
2017-08-20 22:22:00,10.243.144.0,22,37,171.5,Kumaon
2017-08-20 22:55:00,10.243.144.0,22,34,162.7,Kumaon
2017-08-20 23:28:00,10.243.144.0,22,36,181.3,Kumaon
2017-08-21 00:01:00,10.243.144.0,22,37,178.4,Kumaon
2017-08-21 00:34:00,10.243.144.0,22,35,179.8,Kumaon
2017-08-21 16:24:00,10.243.144.0,22,31,62.7,Kumaon
2017-08-21 16:55:00,10.243.144.0,22,31,54.5,Kumaon
2017-08-21 17:26:00,10.243.144.0,22,32,58.3,Kumaon
2017-08-21 17:59:00,10.243.144.0,22,30,61.8,Kumaon
2017-08-21 18:30:00,10.243.144.0,22,27,51.7,Kumaon
